patch,n_notes,n_tracks,snr_db,grade,attack_ms,decay_db_s,level_db,h1_norm,h2_norm,h3_norm,h4_norm,h5_norm,h6_norm,h7_norm,h8_norm,h9_norm,h10_norm,h11_norm,h12_norm,h13_norm,h14_norm,h15_norm,h16_norm,h17_norm,h18_norm,h19_norm,h20_norm,h21_norm,h22_norm,h23_norm,h24_norm
0x00,321,9,35.6,A,45.0,-33.1,54.9,0.8401,1.0000,0.1776,0.9027,0.2895,0.0859,0.3314,0.1792,0.0248,0.1496,0.0211,0.0325,0.0244,0.0543,0.0164,0.0515,0.0383,0.0151,0.0378,0.0242,0.0120,0.0133,0.0086,0.0121
0x01,320,8,48.3,A,105.0,-24.1,54.8,1.0000,0.5258,0.4593,0.6294,0.4094,0.2281,0.0885,0.0562,0.0294,0.0231,0.0162,0.0333,0.0113,0.0132,0.0122,0.0214,0.0093,0.0142,0.0090,0.0168,0.0088,0.0078,0.0072,0.0149
0x02,411,11,34.6,A,85.0,-22.8,50.8,1.0000,0.5195,0.2913,0.3666,0.2308,0.1669,0.0941,0.1293,0.0868,0.0804,0.0423,0.0932,0.0408,0.0443,0.0438,0.0493,0.0324,0.0462,0.0293,0.0381,0.0296,0.0242,0.0190,0.0306
0x03,120,3,35.6,A,25.0,-29.7,49.2,1.0000,0.1828,0.2944,0.3335,0.3103,0.2772,0.1728,0.1441,0.1139,0.0808,0.0596,0.0493,0.0285,0.0255,0.0225,0.0164,0.0121,0.0121,0.0104,0.0081,0.0081,0.0068,0.0058,0.0073
0x04,117,3,35.7,A,95.0,-20.0,56.9,1.0000,0.6634,0.3522,0.4406,0.1749,0.1453,0.1034,0.1720,0.0765,0.1037,0.0578,0.1543,0.0632,0.0789,0.0789,0.0948,0.0531,0.1057,0.0392,0.0609,0.0544,0.0514,0.0761,0.0921
0x06,275,7,28.7,A,35.0,-18.2,48.4,1.0000,0.2756,0.2788,0.2186,0.1869,0.1832,0.1168,0.2136,0.0947,0.0903,0.0624,0.0519,0.0412,0.0343,0.0276,0.0280,0.0222,0.0193,0.0159,0.0146,0.0128,0.0097,0.0075,0.0072
0x07,51,2,36.5,B,30.0,-16.9,47.3,0.7930,0.6342,0.4789,0.7394,0.5875,1.0000,0.1202,0.5528,0.4139,0.5588,0.4278,0.4465,0.0260,0.0620,0.3557,0.6955,0.2549,0.1389,0.0947,0.1887,0.1567,0.1108,0.0692,0.0772
0x08,131,4,31.8,A,55.0,-7.8,47.5,0.9743,0.1304,0.2643,0.0573,1.0000,0.0470,0.2071,0.0470,0.1797,0.0299,0.0491,0.0260,0.0379,0.0146,0.0269,0.0136,0.0186,0.0118,0.0162,0.0080,0.0142,0.0062,0.0085,0.0053
0x09,262,7,34.4,A,30.0,-18.0,48.6,0.5612,1.0000,0.4065,0.8066,0.3494,0.1796,0.2976,0.2197,0.0641,0.2077,0.1305,0.0854,0.1417,0.1007,0.0292,0.0915,0.0545,0.0301,0.0420,0.0173,0.0238,0.0210,0.0255,0.0167
0x0A,91,3,33.3,A,30.0,-19.8,56.3,1.0000,0.4338,0.1649,0.5468,0.1058,0.1330,0.0759,0.1096,0.0565,0.0725,0.0418,0.0662,0.0395,0.0444,0.0343,0.0430,0.0246,0.0325,0.0235,0.0196,0.0159,0.0148,0.0136,0.0141
0x0B,102,3,32.6,A,50.0,-29.1,55.0,0.8584,1.0000,0.1274,0.8524,0.2680,0.0426,0.3167,0.1662,0.0437,0.1318,0.0260,0.0205,0.0233,0.0495,0.0197,0.0422,0.0341,0.0220,0.0396,0.0196,0.0168,0.0140,0.0149,0.0088
0x0C,80,2,29.6,A,45.0,-22.0,47.5,1.0000,0.5685,0.1423,0.0748,0.0770,0.0640,0.0521,0.3193,0.0511,0.0249,0.0358,0.1897,0.0301,0.0128,0.0263,0.0146,0.0119,0.0259,0.0117,0.0083,0.0167,0.0443,0.0092,0.0067
0x0D,51,2,37.2,A,85.0,-21.7,57.0,1.0000,0.5351,0.1824,0.5121,0.1201,0.2732,0.0947,0.4456,0.1607,0.1417,0.0401,0.2687,0.0258,0.0583,0.0220,0.1151,0.0219,0.0766,0.0471,0.0370,0.0205,0.0203,0.0175,0.0837
0x0E,434,14,37.0,A,45.0,-16.3,51.1,1.0000,0.8048,0.4795,0.4617,0.1955,0.1712,0.1712,0.1585,0.1065,0.1105,0.0493,0.0447,0.0410,0.0630,0.0850,0.0467,0.0218,0.0250,0.0463,0.0257,0.0114,0.0109,0.0072,0.0082
