patch,source,use,confidence,octave,octave_bound,grade,n_notes,n_tracks,snr_db,attack_ms,decay_db_s,level_db,level_ref,level_pk_db,h1_norm,h2_norm,h3_norm,h4_norm,h5_norm,h6_norm,h7_norm,h8_norm,h9_norm,h10_norm,h11_norm,h12_norm,h13_norm,h14_norm,h15_norm,h16_norm,h17_norm,h18_norm,h19_norm,h20_norm,h21_norm,h22_norm,h23_norm,h24_norm,h25_norm,h26_norm,h27_norm,h28_norm,h29_norm,h30_norm,h31_norm,h32_norm,h33_norm,h34_norm,h35_norm,h36_norm,h37_norm,h38_norm,h39_norm,h40_norm,h41_norm,h42_norm,h43_norm,h44_norm,h45_norm,h46_norm,h47_norm,h48_norm,odd_even_db,odd_even_kind,n_odd_read,n_even_read,provenance,odd_even_db_cart,odd_even_db_composer,cart_grade,cart_blind,cart_h1_status,cart_h1_n,cart_h1_ub,cart_tracks,cart_fac_vs_pairwise_max,composer_grade,composer_odd_over_leak_db,composer_null_rel_db,composer_tracks,h24_grade,verifier_cart,verifier_composer,note,n_tracks_cells,n_notes_cells,n_tracks_h1,h1_reads,spread_tracks_db,oe_spread_tracks_db,per_track_h1,per_track_oe_db,leak_tracks_dropped,partner_free_h1,odd_even_bound_db,octave_basis,v2_octave_use_grade,v3_audit
0x00,cart,0,high,unknown,"unknown (v3: A2: written on an uninformative censored bound (0.502 re strongest > 0.3)); v2 reading: f/2 line absent, bound 0.502 re strongest",A,700,7,20.7,12.0,-22.5,-14.2,cart_rms,-22.4,0.0000,0.9184,0.0000,1.0000,0.0000,0.1165,0.0000,0.9523,0.0000,0.2849,0.0051,0.0000,0.0000,0.3074,0.0000,0.1329,0.0000,0.0000,0.0000,0.1066,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-50.6,measured,24,24,bcbcbcbcbccbbcbcbbbcbbbbbbbbbbbbbbbbbbbbbbbbbbbb,-50.6,-21.8,A,0,censored,272,0.502,4;7;25;36;51;55;61,0.064,A,4.5,-12.5,4;7;16;25;36;55;61,A,CONFIRMED: no f/2 line (bound 0.32),,cart h1 censored ub 0.502; composer not usable: odd over leak 4.5,6,461,5,272,0.0,17.9,4:0.00(cens<0.006)/n77;7:0.00(cens<0.98)/n21;25:-/n0;36:0.00(cens<0.788)/n47;51:0.00(cens<0.095)/n24;55:0.00(cens<0.265)/n15;61:-/n0,4:-23.8;7:-;36:-;51:-5.9;55:-,,,,unknown: A2: written on an uninformative censored bound (0.502 re strongest > 0.3),written/1/A,A2: written on an uninformative censored bound (0.502 re strongest > 0.3)
0x01,cart,1,high,half,h1 1.00 re strongest (n 100),B,100,1,42.2,80.0,-38.1,-4.8,cart_rms,-14.8,1.0000,0.5473,0.3131,,0.0603,,0.3820,,0.2663,0.3161,0.1665,,0.0507,0.0362,,,0.0091,,0.0068,,,0.0240,0.0000,,0.0000,0.0110,0.0000,,0.0054,,0.0056,,0.0000,0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,5.3,measured,21,12,cctucucutccuctuucucuucbubcbucucubcbbbbbbbbbbbbuu,1.3,4.3,A,0,measured,100,0.007,33;56;57,,A,25.2,-7.0,1;16;21;33;49;56;57,A,"CONFIRMED: f/2 line CONFIRMED (Theme only: 1 track, not 3); h3..h12 of the factorised row REFUTED -> plain pairwise Theme re h1 used",CONFIRMED: f/2 anchor and odd ladder real (v1 + v2),"cart cells = plain pairwise h_k/h1 over the strand's 100 Theme notes (verifier's corrected row); h4/h6/h8/h12 unknown (pluck on Theme; Tension not isolated - its chained h_k/h7 x h7/h1 estimate 0.40/0.37/0.32/0.23/0.18 for h8..h12 is in the JSON, NOT used); n_tracks per verifier 1 (Theme), not 3",1,100,1,100,,,33:-/n0;56:-/n0;57:1.00/n100,57:+5.3,,,,"h1 read on 100 notes, 1 track(s) [Theme Of Paprium]; verifier CONFIRMED",half/1/A,one track (Theme Of Paprium) but the cart verifier CONFIRMED the line
0x02,cart,1,high,half,h1 1.00 re strongest (n 296),A,576,4,36.0,28.0,-5.7,-17.0,cart_rms,-11.7,1.0000,0.0226,0.1413,0.0247,0.1224,0.0000,0.1002,0.0000,0.0677,0.0129,0.0567,0.0090,0.0434,0.0000,0.0304,0.0000,0.0601,0.0000,0.0444,0.0000,0.0263,0.0000,0.1345,0.0000,0.0518,0.0000,0.0000,0.0000,0.0285,0.0000,0.0122,0.0000,0.0179,0.0000,0.0476,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.0,measured,24,24,cccccbcbcccccbcbcbcbcbcbcbbbcbcbcbcbbbbbbbbbbbbb,29.0,20.7,A,0,measured,296,0.047,5;23;36;47;55;57,0.125,A,26.6,-10.5,1;21;23;36;38;47;55;57,A,CONFIRMED: near-sine at f/2 CONFIRMED on 4 tracks (not 6: Bad Dudes / Theme doubled by another patch),CONFIRMED: near-sine at f/2 (Hi-Score per-track entry blind),n_tracks per verifier 4 (not 6: Bad Dudes / Theme doubled at the same note),4,360,4,296,0.0,18.7,5:-/n0;23:1.00/n100;36:1.00/n62;47:1.00/n32;55:1.00/n96;57:-/n0,23:+32.7;36:+34.1;47:+35.6;55:+16.9,,1.000/n4,,"h1 read on 296 notes, 4 track(s) [Drum & Bass Boss, Hi-Score, Sadness, Techno Beats]; verifier CONFIRMED",half/1/A,
0x03,cart,0,high,unknown,unknown (v3: A2 thin: half on 5 h1 reads (< 12)); v2 reading: h1 0.25 re strongest (n 5),A,300,3,18.2,24.0,-66.4,-18.3,cart_rms,-30.8,0.2535,,0.0000,0.2608,0.0000,0.8372,0.0000,0.7986,0.0000,0.1722,0.1618,0.7694,0.0000,1.0000,0.0000,0.6673,0.1859,0.4204,0.0401,0.2601,0.0499,0.1950,0.0634,0.1128,0.0981,0.0805,0.0659,0.0838,0.0000,0.0523,0.0000,0.0391,0.0000,0.0185,0.0000,0.0138,0.0411,0.0000,0.0000,0.0000,0.0000,0.0107,0.0000,0.0000,0.0000,0.0000,0.0000,0.0081,-14.1,measured,24,23,tubcbcbcbtccbcbcccccccccccccbcbcbcbccbbbbcbbbbbc,-14.1,-4.7,A,0,measured,5,0.132,39;47;59,0.307,A,13.2,-31.1,39;47;59,A,,,"F3: cart h1 on 5 notes at a borderline bound (0.13); composer/cart shapes disagree; DIAGNOSTIC: factorised row deviates from the plain pairwise reading at h8 (fac 0.80 vs pairwise 0.49, n 29) - the 0x01 mechanism; values kept as the strand measured",2,115,0,5,,,39:-/n0;47:-/n0;59:-/n0,39:-14.4,,,,unknown: A2 thin: half on 5 h1 reads (< 12),half/0/A,A2 thin: half on 5 h1 reads (< 12)
0x04,cart_unverified,0,low,unknown,source controls failed (blind): no octave measurement,C,100,1,18.0,32.0,-37.7,-18.2,cart_rms,-25.1,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.3860,0.0000,0.2245,0.0000,1.0000,0.2308,0.2612,0.0000,0.3511,0.0000,0.3407,0.0000,0.3026,0.2004,0.2305,0.0000,0.4551,0.0000,0.0000,0.0000,0.0000,0.0000,0.2662,0.0000,0.0000,0.1587,0.2148,0.0000,0.0000,-12.2,measured,16,16,uuuuuuuuuuuuuuuubbbcbcbcccbcbcbcccbcbbbbbcbbccbb,-12.2,-4.8,C,1,masked,0,,7,,A,5.6,-1.1,1;7;32,A,,,cart h1 masked; cart blind: sens 0 null 1; composer not usable: odd over leak 5.6,0,0,0,0,,,7:-/n0,,,,,unknown: source controls failed (blind): no octave measurement,unknown/0/C,
0x06,cart,1,high,written,"f/2 line absent, bound 0.112 re strongest",A,400,4,17.2,16.0,-42.8,-13.6,cart_rms,-22.2,0.0000,1.0000,0.0000,0.3310,0.0000,0.2965,0.0000,0.3063,0.0000,0.2149,0.0000,0.1724,0.0000,0.0923,0.0000,0.0955,0.0000,0.0430,0.0000,0.0243,0.0000,0.0070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unmeasured,bound,24,24,bcbcbcbcbcbcbcbcbcbcbcbbbbbbbbbbbbbbbbbbbbbbbbbb,-121.4,-13.5,A,0,censored,59,0.112,7;37;55;62,0.109,A,1.6,-5.3,7;11;16;32;37;46;55;62,A,"CONFIRMED: no f/2 line (bound 0.136); even ladder one track vs four, mad 0.085",,cart h1 censored ub 0.112; composer not usable: odd over leak 1.6,4,360,3,59,0.0,26.9,7:0.00(cens<0.202)/n6;37:0.05/n10;55:0.00(cens<0.051)/n16;62:-/n0,7:-28.7;37:-1.8;55:-;62:-21.3,,0.000/n4,<-13.0,"f/2 line absent, bound 0.112 re strongest; 59 h1 reads, 3 track(s) [Bone Crusher, House, Techno Beats]; verifier CONFIRMED",written/1/A,
0x07,composer,0,high,unknown,"unknown (v3: A1: the call rests on ONE track (Neon Rider, 21 h1 reads)); v2 reading: composer h1 1.000 (n 27)",B,33,2,37.0,45.0,-26.3,-17.4,cart_rms(composer-6.0),,1.0000,0.8226,0.2517,,0.7746,0.2807,0.3316,,,,0.1968,,0.3809,,0.1270,,,,0.0761,,,0.3848,0.0356,,,,,,,0.2120,0.1451,,0.1565,,0.0939,,0.0490,,0.0502,,0.0759,,,,,0.0470,,,3.3,measured,15,5,pppupppuuupupupuuupuuppuuuuuuppupupupupupuuuupuu,,3.3,,,,,,,,A,15.7,-18.3,38;43,B,,,,1,27,1,21,,,38:0.62/n6[LEAK];43:0.56/n21,38:+12.5;43:+0.8,38,,,"unknown: A1: the call rests on ONE track (Neon Rider, 21 h1 reads)",half/1/A,"A1: the call rests on ONE track (Neon Rider, 21 h1 reads); leak track(s) dropped from the evidence: 38 Indian Shuffle"
0x08,cart_unverified,0,low,unknown,"unknown (v3: A2: written on an uninformative censored bound (0.471 re strongest > 0.3)); v2 reading: f/2 line absent, bound 0.471 re strongest",C,100,1,18.2,8.0,-45.4,-26.0,cart_rms,-28.7,0.0000,0.6849,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,unmeasured,bound,24,24,bcbbbbbbbcbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,-121.7,-6.5,C,0,censored,22,0.471,55,,A,3.9,-8.3,38;46;55,A,CONFIRMED: prev verifier: consistent (small n),,cart h1 censored ub 0.471; composer not usable: odd over leak 3.9,1,100,1,22,,,55:0.00(cens<0.141)/n10,55:-,,,<-0.2,unknown: A2: written on an uninformative censored bound (0.471 re strongest > 0.3),written/0/C,A2: written on an uninformative censored bound (0.471 re strongest > 0.3)
0x09,cart,1,high,written,"f/2 line absent, bound 0.169 re strongest",A,300,3,25.0,12.0,-46.1,-24.5,cart_rms,-28.2,0.0000,0.2899,0.0000,1.0000,0.0000,0.5049,0.0000,0.9178,0.0000,0.2107,0.0000,0.0540,0.0000,0.0816,0.0000,0.0733,0.0000,0.0000,0.0000,0.0419,0.0000,0.0286,0.0000,0.0078,0.0000,0.0153,0.0000,0.0136,0.0000,0.0000,0.0000,0.0126,0.0000,0.0038,0.0000,0.0000,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000,0.0000,unmeasured,bound,24,24,bcbcbcbcbcbcbcbcbbbcbcbcbcbcbbbcbcbbbcbbbbbbbcbb,-123.5,-23.2,A,0,censored,23,0.169,25;27;30,0.013,A,-0.2,-0.4,19;25;27;30;38;46,A,,,cart h1 censored ub 0.169; composer not usable: odd over leak -0.2,3,238,2,23,0.0,,25:-/n0;27:0.00(cens<0.227)/n12;30:0.00(cens<0.162)/n4,27:-;30:-,,,<-17.0,"f/2 line absent, bound 0.169 re strongest; 23 h1 reads, 2 track(s) [Evolve, Gothic]; no verifier verdict",written/1/A,
0x0A,cart_unverified,0,low,unknown,f/2 bin never clean,C,50,1,13.3,12.0,-15.1,-30.4,cart_rms,-33.5,,1.0000,0.0000,0.0000,0.0000,0.0138,1.0000,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0,measured,22,23,utbbbctuubbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,-0.0,-1.6,C,0,masked,0,,37,,B,20.4,7.8,37;38,A,,,cart h1 masked; composer not usable: null n 1,1,26,0,0,,,37:-/n0,,,,,unknown: f/2 bin never clean,unknown/0/C,
